Sexo;Idade;Raça;Escolaridade;Rendimento mensal;Horas trabalhadas por semana;Região do domicílio;Número de pessoas no domicílio
Homem;39;Parda;Fundamental incompleto ou equivalente;1200;48;Rural;1
Mulher;23;Parda;Médio completo ou equivalente;1250;36;Urbana;5
Mulher;19;Branca;Médio completo ou equivalente;1300;55;Rural;4
Mulher;52;Parda;Superior completo;1700;40;Urbana;3
Mulher;36;Branca;Fundamental completo ou equivalente;2000;48;Rural;5
Homem;24;Branca;Médio incompleto ou equivalente;1700;60;Urbana;2
Homem;26;Preta;Médio incompleto ou equivalente;400;24;Rural;4
Mulher;39;Branca;Superior completo;2300;40;Urbana;3
Homem;42;Branca;Superior completo;3000;44;Urbana;2
Mulher;24;Parda;Médio completo ou equivalente;1045;40;Urbana;8
Mulher;22;Parda;Médio completo ou equivalente;1045;44;Urbana;2
Homem;43;Parda;Fundamental incompleto ou equivalente;1600;50;Rural;5
Homem;43;Parda;Médio completo ou equivalente;4000;89;Urbana;2
Homem;18;Branca;Médio completo ou equivalente;700;32;Urbana;4
Homem;32;Parda;Médio completo ou equivalente;1045;44;Rural;3
Homem;60;Parda;Fundamental incompleto ou equivalente;1045;40;Urbana;3
Homem;54;Branca;Médio completo ou equivalente;1300;40;Urbana;3
Mulher;37;Parda;Superior completo;1045;30;Urbana;3
Mulher;46;Parda;Fundamental incompleto ou equivalente;960;40;Urbana;4
Homem;54;Branca;Fundamental incompleto ou equivalente;750;48;Urbana;2
Mulher;51;Branca;Fundamental completo ou equivalente;1800;16;Urbana;3
Homem;41;Branca;Médio incompleto ou equivalente;2000;40;Urbana;5
Homem;21;Preta;Médio completo ou equivalente;1000;44;Rural;5
Mulher;32;Branca;Médio completo ou equivalente;1700;44;Urbana;3
Mulher;54;Branca;Fundamental incompleto ou equivalente;800;30;Urbana;2
Mulher;33;Parda;Médio completo ou equivalente;1600;44;Urbana;2
Homem;38;Branca;Fundamental completo ou equivalente;1045;45;Urbana;2
Mulher;30;Branca;Médio completo ou equivalente;400;24;Urbana;3
Mulher;56;Parda;Médio completo ou equivalente;1800;40;Urbana;2
Mulher;31;Parda;Médio completo ou equivalente;200;12;Urbana;3
Mulher;19;Branca;Médio completo ou equivalente;1800;40;Urbana;2
Homem;64;Branca;Superior completo;23000;35;Urbana;1
Homem;20;Branca;Médio completo ou equivalente;1045;36;Urbana;4
Homem;65;Branca;Fundamental incompleto ou equivalente;2500;44;Urbana;5
Mulher;30;Branca;Superior completo;2000;20;Urbana;3
Homem;59;Preta;Fundamental incompleto ou equivalente;800;24;Urbana;2
Homem;25;Parda;Médio incompleto ou equivalente;300;40;Rural;4
Homem;66;Parda;Superior completo;2500;40;Urbana;2
Homem;28;Branca;Médio completo ou equivalente;600;24;Urbana;5
Homem;25;Parda;Fundamental completo ou equivalente;2000;40;Urbana;2
Mulher;36;Parda;Fundamental completo ou equivalente;1000;20;Urbana;6
Mulher;48;Preta;Superior completo;3000;40;Urbana;2
Homem;18;Parda;Médio completo ou equivalente;550;20;Rural;5
Homem;34;Parda;Superior completo;2500;40;Urbana;1
Homem;52;Branca;Fundamental incompleto ou equivalente;1200;44;Urbana;3
Homem;54;Branca;Superior completo;2500;30;Urbana;2
Homem;50;Parda;Médio incompleto ou equivalente;2500;44;Urbana;4
Homem;25;Branca;Médio completo ou equivalente;1150;48;Urbana;2
Homem;41;Branca;Superior completo;5000;50;Urbana;2
Homem;62;Preta;Superior incompleto ou equivalente;2500;44;Urbana;2
Homem;67;Branca;Fundamental incompleto ou equivalente;1500;30;Rural;3
Homem;26;Branca;Médio completo ou equivalente;1200;40;Urbana;3
Homem;53;Branca;Fundamental completo ou equivalente;2000;40;Urbana;6
Mulher;22;Parda;Médio completo ou equivalente;1045;44;Urbana;3
Homem;35;Branca;Médio completo ou equivalente;1100;40;Urbana;3
Homem;59;Branca;Fundamental incompleto ou equivalente;1000;56;Rural;2
Homem;51;Branca;Fundamental incompleto ou equivalente;200;44;Rural;2
Homem;35;Parda;Médio incompleto ou equivalente;1200;30;Rural;5
Homem;20;Parda;Fundamental incompleto ou equivalente;400;40;Rural;2
Homem;45;Parda;Fundamental incompleto ou equivalente;1000;44;Urbana;5
Homem;19;Branca;Médio completo ou equivalente;1000;50;Rural;5
Mulher;49;Parda;Fundamental incompleto ou equivalente;550;20;Urbana;4
Mulher;32;Parda;Superior completo;1800;40;Urbana;3
Homem;64;Branca;Fundamental completo ou equivalente;2500;48;Rural;2
Homem;15;Branca;Fundamental incompleto ou equivalente;400;20;Rural;8
Homem;50;Parda;Fundamental completo ou equivalente;1500;40;Urbana;2
Mulher;46;Branca;Superior completo;2600;40;Urbana;3
Homem;23;Branca;Superior incompleto ou equivalente;1500;40;Urbana;3
Mulher;49;Parda;Superior completo;2300;30;Urbana;4
Homem;45;Branca;Fundamental incompleto ou equivalente;3000;60;Urbana;5
Mulher;22;Parda;Superior completo;200;20;Urbana;5
Homem;57;Preta;Médio completo ou equivalente;1320;40;Rural;4
Homem;34;Preta;Fundamental incompleto ou equivalente;1045;44;Urbana;4
Homem;41;Preta;Fundamental completo ou equivalente;2000;40;Urbana;4
Mulher;40;Parda;Superior completo;6000;40;Urbana;1
Homem;38;Branca;Fundamental completo ou equivalente;1350;44;Urbana;2
Mulher;43;Branca;Superior completo;1045;44;Urbana;4
Homem;19;Parda;Médio completo ou equivalente;1200;40;Urbana;4
Homem;55;Parda;Fundamental incompleto ou equivalente;700;24;Urbana;3
Mulher;47;Branca;Fundamental incompleto ou equivalente;1045;44;Urbana;2
Homem;66;Parda;Superior completo;12000;40;Urbana;4
Homem;38;Parda;Fundamental incompleto ou equivalente;1300;40;Rural;2
Mulher;41;Preta;Médio incompleto ou equivalente;1045;48;Urbana;5
Homem;36;Branca;Superior completo;2000;40;Urbana;3
Homem;22;Branca;Médio completo ou equivalente;2000;44;Urbana;3
Mulher;29;Branca;Superior completo;14900;48;Urbana;1
Homem;62;Parda;Fundamental incompleto ou equivalente;1500;56;Rural;4
Mulher;44;Branca;Médio completo ou equivalente;2500;44;Urbana;3
Mulher;36;Parda;Superior completo;2800;40;Urbana;4
Mulher;36;Branca;Médio completo ou equivalente;1300;44;Urbana;3
Mulher;29;Parda;Superior incompleto ou equivalente;1400;44;Urbana;2
Mulher;42;Parda;Médio completo ou equivalente;400;8;Urbana;5
Homem;27;Preta;Fundamental completo ou equivalente;100;8;Urbana;6
Mulher;53;Parda;Médio completo ou equivalente;1500;40;Urbana;3
Homem;26;Branca;Superior completo;5000;40;Urbana;2
Homem;60;Parda;Fundamental incompleto ou equivalente;600;44;Urbana;3
Homem;58;Parda;Fundamental incompleto ou equivalente;600;20;Urbana;4
Homem;38;Parda;Médio completo ou equivalente;1200;40;Urbana;5
Homem;22;Parda;Médio incompleto ou equivalente;500;20;Rural;4
Homem;49;Parda;Fundamental incompleto ou equivalente;1800;44;Urbana;4
Mulher;30;Branca;Médio completo ou equivalente;1045;30;Urbana;4
Homem;43;Parda;Médio incompleto ou equivalente;1500;24;Urbana;3
Mulher;51;Branca;Superior completo;1972;20;Rural;3
